dicom_id,study_id,len_sucio,len_limpio,chars_recortados,fue_recortado,bleu4_sucio,bleu4_limpio,bleu4_delta,rougeL_sucio,rougeL_limpio,rougeL_delta,radgraph_sucio,radgraph_limpio,radgraph_delta,bertscore_p_sucio,bertscore_p_limpio,bertscore_p_delta,bertscore_r_sucio,bertscore_r_limpio,bertscore_r_delta,bertscore_f1_sucio,bertscore_f1_limpio,bertscore_f1_delta
2630b0b8-2d5af3a6-1a02c2ca-952e9535-b44c35ee,53368584,1647,625,1022,True,0.034658838595309605,0.08674520441616979,0.05208636582086018,0.10062893081761005,0.2206896551724138,0.12006072435480374,0.13333333333333333,0.15384615384615383,0.020512820512820495,0.703346848487854,0.7711431384086609,0.06779628992080688,0.7752063274383545,0.7975049018859863,0.022298574447631836,0.7375303506851196,0.7841024398803711,0.046572089195251465
599b85f2-1459d013-e1a5ac24-9f73ad92-aaf0dc22,53368584,1787,618,1169,True,0.0395032121362539,0.10387792921470423,0.06437471707845033,0.10397553516819572,0.23776223776223776,0.13378670259404205,0.13559322033898308,0.1509433962264151,0.01535017588743201,0.6868321895599365,0.7695521116256714,0.08271992206573486,0.769213080406189,0.7918124198913574,0.022599339485168457,0.7256921529769897,0.7805235385894775,0.05483138561248779
a3eabe82-0debb47b-bb826366-f4897953-799e5aae,55439624,1764,531,1233,True,0.02111624550617382,0.06298945049063256,0.04187320498445875,0.10588235294117646,0.1940298507462687,0.08814749780509223,0.07692307692307691,0.0425531914893617,-0.03436988543371521,0.6885881423950195,0.7556502223014832,0.06706207990646362,0.7755786776542664,0.7779876589775085,0.0024089813232421875,0.7294992208480835,0.7666562795639038,0.03715705871582031
ad41d9ed-37ff140e-afe872af-224a8477-f98ac392,55439624,1694,1055,639,True,0.008860128340042442,0.01291653602598271,0.004056407685940268,0.11940298507462686,0.13675213675213674,0.017349151677509875,0.03669724770642202,0.04938271604938271,0.012685468342960693,0.6982995867729187,0.7172639966011047,0.018964409828186035,0.781944751739502,0.7829473614692688,0.0010026097297668457,0.7377588748931885,0.7486677765846252,0.010908901691436768
53a0e91c-79580b39-f184232b-f105311f-eb2e51d2,59238247,1643,642,1001,True,0.05041033978786711,0.09763122632460627,0.047220886536739164,0.1408450704225352,0.21348314606741572,0.07263807564488053,0.18604651162790697,0.1935483870967742,0.007501875468867214,0.7290002703666687,0.7474106550216675,0.01841038465499878,0.7738806009292603,0.741676926612854,-0.03220367431640625,0.7507703304290771,0.7445327639579773,-0.0062375664710998535
a631cd7c-8da83d3e-b01eff09-adbbd532-d35221b8,59238247,1730,449,1281,True,0.039988167101101334,0.10028602794099009,0.06029786083988876,0.11699164345403901,0.2465753424657534,0.1295836990117144,0.18181818181818185,0.21875000000000003,0.03693181818181818,0.7037049531936646,0.758115828037262,0.05441087484359741,0.759156346321106,0.7266355752944946,-0.03252077102661133,0.7303796410560608,0.7420419454574585,0.011662304401397705
2134c2ee-d0accf09-60867899-ebfd91cb-740492f2,56644724,982,508,474,True,0.01811914211686489,0.03320737186464697,0.015088229747782081,0.11940298507462685,0.20869565217391303,0.08929266709928618,0.05555555555555555,0.07692307692307691,0.02136752136752136,0.679441511631012,0.7003808617591858,0.020939350128173828,0.780375599861145,0.7772393822669983,-0.0031362175941467285,0.7264191508293152,0.7368112802505493,0.01039212942123413
d3374daa-668dfc88-b06827c7-07a5aa23-8527ce6f,56644724,1610,466,1144,True,0.05174037740768756,0.16590899102715245,0.1141686136194649,0.1324503311258278,0.25688073394495414,0.12443040281912635,0.20588235294117646,0.39999999999999997,0.1941176470588235,0.7010825872421265,0.7243157625198364,0.02323317527770996,0.8112276196479797,0.8106634616851807,-0.0005641579627990723,0.7521440386772156,0.7650609612464905,0.012916922569274902
fc08b4f9-a67dd3a8-8bc68820-858e5989-bb651ebd,54394630,1719,683,1036,True,0.06613717792282846,0.14807290562547204,0.08193572770264358,0.16842105263157897,0.22772277227722773,0.05930171964564876,0.11363636363636363,0.08823529411764705,-0.025401069518716582,0.7341456413269043,0.7544322609901428,0.020286619663238525,0.8009907603263855,0.7845606207847595,-0.016430139541625977,0.7661128044128418,0.7692015171051025,0.003088712692260742
6976b759-a3c21932-f5fed21a-f20c3a55-f6b2a31e,54850191,1198,871,327,True,0.022780865753173195,0.03064273564646127,0.007861869893288076,0.10408921933085502,0.12380952380952379,0.019720304478668765,0.026666666666666665,0.027397260273972605,0.0007305936073059398,0.7170714735984802,0.7405948638916016,0.023523390293121338,0.7640494108200073,0.7574293613433838,-0.006620049476623535,0.7398154139518738,0.7489175200462341,0.009102106094360352
