dicom_id,study_id,len_sucio,len_limpio,chars_recortados,fue_recortado,bleu4_sucio,bleu4_limpio,bleu4_delta,rougeL_sucio,rougeL_limpio,rougeL_delta,radgraph_sucio,radgraph_limpio,radgraph_delta,bertscore_p_sucio,bertscore_p_limpio,bertscore_p_delta,bertscore_r_sucio,bertscore_r_limpio,bertscore_r_delta,bertscore_f1_sucio,bertscore_f1_limpio,bertscore_f1_delta
560c19eb-ba6e25f1-db4b68e5-f2e99ede-0c13335e,55602594,1790,731,1059,True,0.010834311801544596,0.018120622056431238,0.007286310254886642,0.12138728323699423,0.1758241758241758,0.05443689258718158,0.06741573033707865,0.08823529411764705,0.0208195637805684,0.7167215347290039,0.7541693449020386,0.03744781017303467,0.7700027227401733,0.7668985724449158,-0.0031041502952575684,0.7424074411392212,0.7604807615280151,0.018073320388793945
abe4361b-d1efced1-d8a5c7c7-d8d2f411-efc7eeab,57157809,1776,577,1199,True,0.0400633650705461,0.08395565238440478,0.04389228731385868,0.1253012048192771,0.20588235294117646,0.08058114812189937,0.08695652173913043,0.09836065573770492,0.011404133998574484,0.7494904398918152,0.7717993855476379,0.022308945655822754,0.7896599769592285,0.7532894611358643,-0.03637051582336426,0.7690509557723999,0.7624321579933167,-0.006618797779083252
eaac275b-412e3c99-c1146f1d-d5a75f6d-5b900203,57157809,1584,562,1022,True,0.055582190672377935,0.09126895763585241,0.035686766963474476,0.14016172506738545,0.2146341463414634,0.07447242127407797,0.07407407407407407,0.09375000000000001,0.019675925925925944,0.7302035093307495,0.780799150466919,0.050595641136169434,0.7747277021408081,0.7692380547523499,-0.005489647388458252,0.7518069744110107,0.7749755382537842,0.023168563842773438
31110ed3-86fe9c69-e902d7ba-35e88460-de307d98,58922574,1671,828,843,True,0.025289767961450202,0.05167557716355392,0.02638580920210372,0.11480362537764349,0.19289340101522842,0.07808977563758493,0.13793103448275862,0.13793103448275862,0.0,0.7082957029342651,0.7564427852630615,0.04814708232879639,0.7808867692947388,0.7901377081871033,0.009250938892364502,0.742821991443634,0.7729231715202332,0.03010118007659912
fd304109-5c81920c-b07741f9-0ddaf49f-37dc8b0b,58922574,1748,701,1047,True,0.028887063190016656,0.058660672411152345,0.02977360922113569,0.12103746397694526,0.192090395480226,0.07105293150328074,0.12499999999999997,0.12500000000000003,5.551115123125783e-17,0.7144632935523987,0.7512679100036621,0.03680461645126343,0.7957203388214111,0.780441164970398,-0.015279173851013184,0.7529057860374451,0.7655767202377319,0.012670934200286865
62f2e63c-be6ca8db-4e01884d-0a900441-200db314,59603171,1735,586,1149,True,0.02291551038998692,0.06091196247373533,0.03799645208374841,0.09554140127388537,0.14925373134328357,0.0537123300693982,0.19718309859154928,0.2040816326530612,0.006898534061511918,0.7062629461288452,0.7576260566711426,0.05136311054229736,0.7965484857559204,0.7998700737953186,0.0033215880393981934,0.748693585395813,0.7781751751899719,0.029481589794158936
5f1ac54d-47dfae00-930fa704-514131fa-ee0c138e,53321493,1750,576,1174,True,0.04428458132246725,0.1269973334542003,0.08271275213173306,0.11145510835913311,0.25,0.1385448916408669,0.21052631578947367,0.21052631578947367,0.0,0.7014175057411194,0.7919813990592957,0.09056389331817627,0.7914586067199707,0.8193816542625427,0.02792304754257202,0.7437227368354797,0.8054485321044922,0.06172579526901245
a5f1348b-3f09fcc2-0a683279-ac1cebdf-60d68865,53321493,1434,431,1003,True,0.05442766344506174,0.16158688003264718,0.10715921658758544,0.12363636363636364,0.3008849557522124,0.17724859211584876,0.23076923076923075,0.23076923076923075,0.0,0.6998201012611389,0.8187568783760071,0.11893677711486816,0.7991482019424438,0.820146381855011,0.02099817991256714,0.7461931109428406,0.8194510340690613,0.0732579231262207
ef0a09f0-9e21694b-d857400f-f002e5c8-8ee47b94,50526690,1262,503,759,True,0.0885278242052234,0.08326287137659108,-0.005264952828632319,0.20987654320987653,0.31313131313131315,0.10325476992143662,0.17777777777777778,0.20289855072463767,0.02512077294685988,0.7688892483711243,0.8139294385910034,0.04504019021987915,0.8392125368118286,0.8059322834014893,-0.033280253410339355,0.8025132417678833,0.8099111318588257,0.007397890090942383
fb8ae1e9-05e3a012-43e61b7b-fb157e12-8f82ecbf,50526690,1637,570,1067,True,0.0687645055305756,0.09550457135694312,0.026740065826367523,0.16753926701570682,0.29665071770334933,0.12911145068764251,0.08955223880597014,0.13333333333333333,0.04378109452736319,0.7680636048316956,0.807262659072876,0.03919905424118042,0.8395904302597046,0.8259633779525757,-0.013627052307128906,0.8022357821464539,0.8165059685707092,0.014270186424255371
